,T2-15,W2,Kc,T_max,T_min,RH_min,RH_max,Rn,U2,P,Ri_f
604,90.0,0,0.55,37.0,24.8,27.0,77.0,0.9989041670000001,109.625,99.93291667,0.0
605,90.0,0,0.55,36.6,24.8,29.0,71.0,1.031785833,109.125,99.92791667,0.0
609,96.0,0,0.55,35.2,24.9,36.0,80.0,0.7612283329999999,104.83333329999999,99.96958333,0.0
610,98.0,0,0.55,35.4,24.5,33.0,76.0,0.9682770829999999,108.95833329999999,99.92125,0.0
611,90.0,0,0.55,35.1,24.8,37.0,74.0,0.855659583,108.33333329999999,99.94916667,0.0
612,90.0,0,0.55,36.8,25.3,26.0,76.0,0.987585833,101.875,99.97666667,0.0
613,98.0,0,0.55,36.8,25.0,30.0,74.0,1.008885,114.66666670000001,99.96708333,0.0
617,100.0,0,0.55,35.0,24.8,41.0,80.0,0.7159125,102.25,99.96791667,0.0
619,100.0,0,0.55,37.6,24.8,27.0,74.0,1.076865417,106.08333329999999,99.99875,0.0
620,100.0,0,0.55,36.4,25.1,30.0,75.0,0.8228133329999999,112.75,99.90291667,0.0
621,100.0,0,0.55,36.4,25.0,29.0,75.0,0.93643625,106.41666670000001,99.98458333,0.0
622,22.0,0,0.55,32.9,25.1,43.0,80.0,0.6194054170000001,97.83333333,99.99125,0.0
623,24.0,0,0.55,34.6,24.3,37.0,82.0,0.6225675,101.20833329999999,99.95458333,0.0
624,24.0,0,0.55,36.3,24.9,35.0,81.0,0.95072875,104.875,99.94333333,0.0
625,24.0,0,0.55,36.6,25.2,29.0,76.0,1.0223754170000001,105.04166670000001,99.91958333,0.0
626,22.0,0,0.55,35.5,24.7,33.0,77.0,0.9833975,103.5,99.78958333,0.0
627,30.0,0,0.55,36.4,24.9,33.0,79.0,0.806712917,103.70833329999999,99.92958333,0.0
628,36.0,0,0.55,36.5,25.0,31.0,79.0,0.764719167,108.08333329999999,99.92208333,0.0
629,40.0,0,0.55,37.5,25.6,27.0,77.0,0.978223333,109.29166670000001,99.9875,0.0
630,42.0,0,0.55,37.7,25.0,29.0,77.0,1.071874583,110.25,99.90958333,0.0
631,48.0,0,0.55,37.4,25.3,28.0,75.0,1.049470833,108.25,99.86708333,0.0
